`torch_dtype` is deprecated! Use `dtype` instead!
WARNING:root:With reduced precision, it is advised to use `from_pretrained_no_processing` instead of `from_pretrained`.
WARNING:root:You are not using LayerNorm, so the writing weights can't be centered! Skipping
Model: Qwen/Qwen2.5-1.5B-Instruct, Scenarios: 3
Loading...
Loaded pretrained model Qwen/Qwen2.5-1.5B-Instruct into HookedTransformer
Loaded. Layers: 28

============================================================
handled → baseline
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=15.54
  Layer        Attn      MLP   Which?
  L11       +0.000   -0.523      MLP
  L12       +0.000   +0.570      MLP
  L13       +0.000   +0.992      MLP
  L14       +0.000   +0.945      MLP
  L15       +0.000   -0.422      MLP
  L16       +0.000   +0.289      MLP
  L17       +0.000   +0.203      MLP
  L18       +0.000   +0.422      MLP
  L19       +0.000   +1.320      MLP
  L20       +0.000   -0.625      MLP
  L21       +0.000   -0.477      MLP
  L22       +0.000   +0.273      MLP
  L23       +0.000   -0.680      MLP
  L24       +0.000   +0.555      MLP
  L25       +0.000   +0.000      ---
  L26       +0.000   +1.773      MLP
  L27       +0.000   +0.664      MLP
  identity_seeking_through_theory... (28 layers × 2 components)
  range=13.73
  Layer        Attn      MLP   Which?
  L0        +0.000   +6.672      MLP
  L1        +0.000   +3.961      MLP
  L2        +0.000   +2.852      MLP
  L3        +0.000   +1.305      MLP
  L4        +0.000   +6.570      MLP
  L5        +0.000   +7.852      MLP
  L6        +0.000   +6.621      MLP
  L7        +0.000   +4.504      MLP
  L8        +0.000   +7.094      MLP
  L9        +0.000   +7.676      MLP
  L10       +0.000   -1.250      MLP
  L11       +0.000   -0.270      MLP
  L12       +0.000   +0.688      MLP
  L13       +0.000   +1.195      MLP
  L14       +0.000   +1.035      MLP
  L15       +0.000   +0.164      MLP
  L16       +0.000   +0.246      MLP
  L17       +0.000   +0.789      MLP
  L18       +0.000   +0.930      MLP
  L19       +0.000   +1.547      MLP
  L20       +0.000   -0.891      MLP
  L21       +0.000   -0.277      MLP
  L22       +0.000   +0.812      MLP
  L23       +0.000   -1.391      MLP
  L24       +0.000   +0.523      MLP
  L25       +0.000   +0.422      MLP
  L26       +0.000   +1.625      MLP
  L27       +0.000   +0.664      MLP

============================================================
only_artifact → baseline
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=11.30
  Layer        Attn      MLP   Which?
  L0        +0.000   +6.855      MLP
  L1        +0.000   +5.656      MLP
  L2        +0.000   +4.891      MLP
  L3        +0.000   +3.828      MLP
  L4        +0.000   +4.500      MLP
  L5        +0.000   +6.094      MLP
  L6        +0.000   +7.500      MLP
  L7        +0.000   +5.477      MLP
  L8        +0.000   +5.148      MLP
  L9        +0.000   +6.281      MLP
  L10       +0.000   +1.328      MLP
  L11       +0.000   -0.566      MLP
  L12       +0.000   +0.547      MLP
  L13       +0.000   +0.445      MLP
  L14       +0.000   +0.297      MLP
  L15       +0.000   +0.953      MLP
  L16       +0.000   +0.852      MLP
  L17       +0.000   +0.789      MLP
  L18       +0.000   -0.172      MLP
  L19       +0.000   +1.008      MLP
  L20       +0.000   +0.195      MLP
  L21       +0.000   -0.633      MLP
  L22       +0.000   +0.656      MLP
  L23       +0.000   -1.047      MLP
  L24       +0.000   +0.438      MLP
  L25       +0.000   -0.133      MLP
  L26       +0.000   +0.930      MLP
  L27       +0.000   +0.258      MLP
  recursive_importance_inflation... (28 layers × 2 components)
  range=9.40
  Layer        Attn      MLP   Which?
  L0        +0.000   +6.250      MLP
  L1        +0.000   +3.484      MLP
  L2        +0.000   +4.984      MLP
  L3        +0.000   +2.105      MLP
  L4        +0.000   +4.438      MLP
  L5        +0.000   +5.039      MLP
  L6        +0.000   +6.422      MLP
  L7        +0.000   +4.430      MLP
  L8        +0.000   +4.656      MLP
  L9        +0.000   +4.547      MLP
  L10       +0.000   +1.258      MLP
  L11       +0.000   -0.676      MLP
  L12       +0.000   +0.805      MLP
  L13       +0.000   +0.195      MLP
  L14       +0.000   +0.570      MLP
  L15       +0.000   +0.438      MLP
  L16       +0.000   +0.016      MLP
  L17       +0.000   +0.617      MLP
  L18       +0.000   +0.320      MLP
  L19       +0.000   +1.133      MLP
  L20       +0.000   +0.477      MLP
  L21       +0.000   -1.188      MLP
  L22       +0.000   +0.492      MLP
  L23       +0.000   -0.500      MLP
  L24       +0.000   +0.289      MLP
  L25       +0.000   -0.430      MLP
  L26       +0.000   +1.156      MLP
  L27       +0.000   +0.141      MLP
  identity_seeking_through_theory... (28 layers × 2 components)
  range=13.15
  Layer        Attn      MLP   Which?
  L0        +0.000   +5.758      MLP
  L1        +0.000   +3.805      MLP
  L2        +0.000   +4.641      MLP
  L3        +0.000   +5.930      MLP
  L4        +0.000   +6.828      MLP
  L5        +0.000   +6.547      MLP
  L6        +0.000   +7.836      MLP
  L7        +0.000   +7.016      MLP
  L8        +0.000   +5.336      MLP
  L9        +0.000   +5.852      MLP
  L10       +0.000   +1.215      MLP
  L11       +0.000   -0.371      MLP
  L12       +0.000   +0.828      MLP
  L13       +0.000   +0.535      MLP
  L14       +0.000   +0.652      MLP
  L15       +0.000   +1.023      MLP
  L16       +0.000   +0.664      MLP
  L17       +0.000   +0.836      MLP
  L18       +0.000   +0.270      MLP
  L19       +0.000   +1.039      MLP
  L20       +0.000   +0.164      MLP
  L21       +0.000   -0.566      MLP
  L22       +0.000   +1.102      MLP
  L23       +0.000   -0.797      MLP
  L24       +0.000   +0.828      MLP
  L25       +0.000   +0.188      MLP
  L26       +0.000   +1.484      MLP
  L27       +0.000   +0.527      MLP

============================================================
handled → scrambled
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=6.29
  Layer        Attn      MLP   Which?
  L0        +0.000   +4.266      MLP
  L1        +0.000   +2.438      MLP
  L2        +0.000   +6.922      MLP
  L3        +0.000   +4.000      MLP
  L4        +0.000   +5.031      MLP
  L5        +0.000   +3.102      MLP
  L6        +0.000   +4.367      MLP
  L7        +0.000   +3.523      MLP
  L8        +0.000   +3.844      MLP
  L9        +0.000   +5.109      MLP
  L10       +0.000   -0.898      MLP
  L11       +0.000   +0.367      MLP
  L12       +0.000   +1.445      MLP
  L13       +0.000   +1.461      MLP
  L14       +0.000   +1.969      MLP
  L15       +0.000   -0.023      MLP
  L16       +0.000   +0.070      MLP
  L17       +0.000   +0.398      MLP
  L18       +0.000   +0.562      MLP
  L19       +0.000   +1.570      MLP
  L20       +0.000   -0.062      MLP
  L21       +0.000   +0.102      MLP
  L22       +0.000   +0.781      MLP
  L23       +0.000   +0.008      ---
  L24       +0.000   +0.820      MLP
  L25       +0.000   +0.039      MLP
  L26       +0.000   +1.211      MLP
  L27       +0.000   -0.336      MLP
  recursive_importance_inflation... (28 layers × 2 components)
  range=7.67
  Layer        Attn      MLP   Which?
  L0        +0.000   +5.570      MLP
  L1        +0.000   +2.453      MLP
  L2        +0.000   +6.086      MLP
  L3        +0.000   +3.820      MLP
  L4        +0.000   +5.008      MLP
  L5        +0.000   +3.156      MLP
  L6        +0.000   +5.570      MLP
  L7        +0.000   +2.938      MLP
  L8        +0.000   +4.562      MLP
  L9        +0.000   +4.680      MLP
  L10       +0.000   -0.844      MLP
  L11       +0.000   +0.711      MLP
  L12       +0.000   +1.773      MLP
  L13       +0.000   +0.836      MLP
  L14       +0.000   +1.445      MLP
  L15       +0.000   +0.219      MLP
  L16       +0.000   -0.297      MLP
  L17       +0.000   +0.055      MLP
  L18       +0.000   +0.781      MLP
  L19       +0.000   +1.477      MLP
  L20       +0.000   -0.102      MLP
  L21       +0.000   -0.305      MLP
  L22       +0.000   +0.633      MLP
  L23       +0.000   -0.148      MLP
  L24       +0.000   +0.352      MLP
  L25       +0.000   +0.203      MLP
  L26       +0.000   +0.859      MLP
  L27       +0.000   -0.039      MLP
  identity_seeking_through_theory... (28 layers × 2 components)
  range=9.20
  Layer        Attn      MLP   Which?
  L0        +0.000   +6.242      MLP
  L1        +0.000   +3.055      MLP
  L2        +0.000   +6.148      MLP
  L3        +0.000   +3.465      MLP
  L4        +0.000   +4.727      MLP
  L5        +0.000   +4.906      MLP
  L6        +0.000   +7.039      MLP
  L7        +0.000   +4.133      MLP
  L8        +0.000   +4.617      MLP
  L9        +0.000   +4.070      MLP
  L10       +0.000   +0.094      MLP
  L11       +0.000   +0.094      MLP
  L12       +0.000   +1.492      MLP
  L13       +0.000   +0.281      MLP
  L14       +0.000   +0.758      MLP
  L15       +0.000   +0.281      MLP
  L16       +0.000   +0.242      MLP
  L17       +0.000   +0.188      MLP
  L18       +0.000   +0.125      MLP
  L19       +0.000   +0.812      MLP
  L20       +0.000   -0.242      MLP
  L21       +0.000   -0.945      MLP
  L22       +0.000   +0.648      MLP
  L23       +0.000   -0.523      MLP
  L24       +0.000   +0.016      MLP
  L25       +0.000   -0.102      MLP
  L26       +0.000   +1.125      MLP
  L27       +0.000   +0.391      MLP

Saved: /Users/asuramaya/Code/handling_the_loop/bench/neuron_data/patching_full_Qwen_Qwen2.5-1.5B-Instruct.json

============================================================
AGGREGATE: Attention vs MLP by layer (averaged across scenarios)
============================================================

  handled → baseline:
  Layer        Attn      MLP  Dominant
  ------------------------------------
  L0        +0.000   +8.965       MLP
  L1        +0.000   +6.180       MLP
  L2        +0.000   +0.408       MLP
  L3        +0.000   +1.204       MLP
  L4        +0.000   +4.969       MLP
  L5        +0.000   +8.348       MLP
  L6        +0.000   +6.966       MLP
  L7        +0.000   +5.055       MLP
  L8        +0.000   +5.102       MLP
  L9        +0.000   +5.896       MLP
  L10       +0.000   -1.102       MLP
  L11       +0.000   -1.591       MLP
  L12       +0.000   -0.581       MLP
  L13       +0.000   +1.501       MLP
  L15       +0.000   -0.040       MLP
  L16       +0.000   +0.587       MLP
  L17       +0.000   +0.579       MLP
  L18       +0.000   +0.194       MLP
  L19       +0.000   +1.763       MLP
  L20       +0.000   -0.264       MLP
  L21       +0.000   -0.014       MLP
  L22       +0.000   +0.721       MLP
  L23       +0.000   -0.807       MLP
  L24       +0.000   +0.948       MLP
  L25       +0.000   +0.536       MLP
  L26       +0.000   +1.435       MLP
  L27       +0.000   +0.809       MLP

  scrambled → baseline:
  Layer        Attn      MLP  Dominant
  ------------------------------------
  L0        +0.000   +7.294       MLP
  L1        +0.000   +4.922       MLP
  L2        +0.000   +3.940       MLP
  L3        +0.000   +2.079       MLP
  L4        +0.000   +6.076       MLP
  L5        +0.000   +8.656       MLP
  L6        +0.000   +7.340       MLP
  L7        +0.000   +4.262       MLP
  L8        +0.000   +6.979       MLP
  L9        +0.000   +7.156       MLP
  L10       +0.000   -0.880       MLP
  L11       +0.000   -0.056       MLP
  L12       +0.000   +0.745       MLP
  L13       +0.000   +1.148       MLP
  L14       +0.000   +0.764       MLP
  L15       +0.000   +0.141       MLP
  L16       +0.000   +0.556       MLP
  L17       +0.000   +0.997       MLP
  L18       +0.000   +0.812       MLP
  L19       +0.000   +1.396       MLP
  L20       +0.000   -0.651       MLP
  L21       +0.000   -0.160       MLP
  L22       +0.000   +0.591       MLP
  L23       +0.000   -1.307       MLP
  L24       +0.000   +0.737       MLP
  L25       +0.000   +0.323       MLP
  L26       +0.000   +1.594       MLP
  L27       +0.000   +0.766       MLP

  only_artifact → baseline:
  Layer        Attn      MLP  Dominant
  ------------------------------------
  L0        +0.000   +6.288       MLP
  L1        +0.000   +4.315       MLP
  L2        +0.000   +4.839       MLP
  L3        +0.000   +3.954       MLP
  L4        +0.000   +5.255       MLP
  L5        +0.000   +5.893       MLP
  L6        +0.000   +7.253       MLP
  L7        +0.000   +5.641       MLP
  L8        +0.000   +5.047       MLP
  L9        +0.000   +5.560       MLP
  L10       +0.000   +1.267       MLP
  L11       +0.000   -0.538       MLP
  L12       +0.000   +0.727       MLP
  L13       +0.000   +0.392       MLP
  L14       +0.000   +0.507       MLP
  L15       +0.000   +0.805       MLP
  L16       +0.000   +0.510       MLP
  L17       +0.000   +0.747       MLP
  L18       +0.000   +0.139       MLP
  L19       +0.000   +1.060       MLP
  L20       +0.000   +0.279       MLP
  L21       +0.000   -0.796       MLP
  L22       +0.000   +0.750       MLP
  L23       +0.000   -0.781       MLP
  L24       +0.000   +0.518       MLP
  L25       +0.000   -0.125       MLP
  L26       +0.000   +1.190       MLP
  L27       +0.000   +0.309       MLP

  handled → scrambled:
  Layer        Attn      MLP  Dominant
  ------------------------------------
  L0        +0.000   +5.359       MLP
  L1        +0.000   +2.648       MLP
  L2        +0.000   +6.385       MLP
  L3        +0.000   +3.762       MLP
  L4        +0.000   +4.922       MLP
  L5        +0.000   +3.721       MLP
  L6        +0.000   +5.659       MLP
  L7        +0.000   +3.531       MLP
  L8        +0.000   +4.341       MLP
  L9        +0.000   +4.620       MLP
  L10       +0.000   -0.549       MLP
  L11       +0.000   +0.391       MLP
  L12       +0.000   +1.570       MLP
  L13       +0.000   +0.859       MLP
  L14       +0.000   +1.391       MLP
  L15       +0.000   +0.159       MLP
  L17       +0.000   +0.214       MLP
  L18       +0.000   +0.490       MLP
  L19       +0.000   +1.286       MLP
  L20       +0.000   -0.135       MLP
  L21       +0.000   -0.383       MLP
  L22       +0.000   +0.688       MLP
  L23       +0.000   -0.221       MLP
  L24       +0.000   +0.396       MLP
  L25       +0.000   +0.047       MLP
  L26       +0.000   +1.065       MLP
