`torch_dtype` is deprecated! Use `dtype` instead!
Model: Qwen/Qwen2.5-7B-Instruct, Scenarios: 5
Loading...
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:02<00:08,  2.74s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:05<00:05,  2.70s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:09<00:03,  3.32s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  3.20s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  3.12s/it]
WARNING:root:With reduced precision, it is advised to use `from_pretrained_no_processing` instead of `from_pretrained`.
WARNING:root:You are not using LayerNorm, so the writing weights can't be centered! Skipping
Loaded pretrained model Qwen/Qwen2.5-7B-Instruct into HookedTransformer
Loaded. Layers: 28

============================================================
handled → baseline
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=9.56
  Layer        Attn      MLP   Which?
  L24       +0.000   +1.328      MLP
  L25       +0.000   +0.734      MLP
  L26       +0.000   +2.664      MLP
  L27       +0.000   +3.820      MLP

============================================================
scrambled → baseline
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=10.50
  Layer        Attn      MLP   Which?
  L0        +0.000   +0.375      MLP
  L1        +0.000   +1.633      MLP
  L2        +0.000   +2.555      MLP
  L3        +0.000   +3.992      MLP
  L4        +0.000   +2.867      MLP
  L5        +0.000   +2.594      MLP
  L6        +0.000   +5.836      MLP
  L7        +0.000   +1.555      MLP
  L8        +0.000   +2.719      MLP
  L9        +0.000   +1.086      MLP
  L10       +0.000   +0.656      MLP
  L11       +0.000   -1.539      MLP
  L12       +0.000   +2.219      MLP
  L13       +0.000   +1.297      MLP
  L14       +0.000   +1.578      MLP
  L15       +0.000   -0.312      MLP
  L16       +0.000   +2.461      MLP
  L17       +0.000   +3.922      MLP
  L18       +0.000   -0.258      MLP
  L19       +0.000   +1.117      MLP
  L20       +0.000   +1.234      MLP
  L21       +0.000   +2.812      MLP
  L22       +0.000   +0.922      MLP
  L23       +0.000   +0.117      MLP
  L24       +0.000   +1.516      MLP
  L25       +0.000   +0.328      MLP
  L26       +0.000   +3.789      MLP
  L27       +0.000   +3.961      MLP
  recursive_importance_inflation... (28 layers × 2 components)
  range=10.53
  Layer        Attn      MLP   Which?
  L0        +0.000   +0.336      MLP
  L1        +0.000   +1.602      MLP
  L2        +0.000   +2.648      MLP
  L3        +0.000   +3.984      MLP
  L4        +0.000   +2.906      MLP
  L5        +0.000   +2.523      MLP
  L6        +0.000   +5.695      MLP
  L7        +0.000   +1.609      MLP
  L8        +0.000   +2.859      MLP
  L9        +0.000   +1.172      MLP
  L10       +0.000   +0.641      MLP
  L11       +0.000   -1.484      MLP
  L12       +0.000   +2.242      MLP
  L13       +0.000   +1.258      MLP
  L14       +0.000   +1.609      MLP
  L15       +0.000   -0.281      MLP
  L16       +0.000   +2.453      MLP
  L17       +0.000   +3.844      MLP
  L18       +0.000   -0.281      MLP
  L19       +0.000   +1.031      MLP
  L20       +0.000   +1.203      MLP
  L21       +0.000   +2.883      MLP
  L22       +0.000   +0.883      MLP
  L23       +0.000   -0.016      MLP
  L24       +0.000   +1.523      MLP
  L25       +0.000   +0.266      MLP
  L26       +0.000   +3.766      MLP
  L27       +0.000   +4.062      MLP
  identity_seeking_through_theory... (28 layers × 2 components)
  range=11.73
  Layer        Attn      MLP   Which?
  L0        +0.000   +1.398      MLP
  L1        +0.000   +2.086      MLP
  L2        +0.000   +2.523      MLP
  L3        +0.000   +4.750      MLP
  L4        +0.000   +4.828      MLP
  L5        +0.000   +3.180      MLP
  L6        +0.000   +6.695      MLP
  L7        +0.000   +2.336      MLP
  L8        +0.000   +2.906      MLP
  L9        +0.000   +2.727      MLP
  L10       +0.000   +0.656      MLP
  L11       +0.000   -1.727      MLP
  L12       +0.000   +2.523      MLP
  L13       +0.000   +0.969      MLP
  L14       +0.000   +2.039      MLP
  L15       +0.000   -0.734      MLP
  L16       +0.000   +2.812      MLP
  L17       +0.000   +4.078      MLP
  L18       +0.000   -0.188      MLP
  L19       +0.000   +1.734      MLP
  L20       +0.000   +1.328      MLP
  L21       +0.000   +3.016      MLP
  L22       +0.000   +0.453      MLP
  L23       +0.000   +0.039      MLP
  L24       +0.000   +1.703      MLP
  L25       +0.000   +0.547      MLP
  L26       +0.000   +4.383      MLP
  L27       +0.000   +4.336      MLP
  self_exposure_escalation... (28 layers × 2 components)
  range=10.67
  Layer        Attn      MLP   Which?
  L0        +0.000   +0.328      MLP
  L1        +0.000   +1.703      MLP
  L2        +0.000   +2.438      MLP
  L3        +0.000   +4.141      MLP
  L4        +0.000   +2.945      MLP
  L5        +0.000   +2.453      MLP
  L6        +0.000   +5.680      MLP
  L7        +0.000   +1.539      MLP
  L8        +0.000   +2.938      MLP
  L9        +0.000   +1.141      MLP
  L10       +0.000   +0.523      MLP
  L11       +0.000   -1.477      MLP
  L12       +0.000   +2.250      MLP
  L13       +0.000   +1.281      MLP
  L14       +0.000   +1.727      MLP
  L15       +0.000   -0.375      MLP
  L16       +0.000   +2.492      MLP
  L17       +0.000   +3.961      MLP
  L18       +0.000   -0.273      MLP
  L19       +0.000   +1.102      MLP
  L20       +0.000   +1.367      MLP
  L21       +0.000   +2.828      MLP
  L22       +0.000   +0.906      MLP
  L23       +0.000   +0.070      MLP
  L24       +0.000   +1.617      MLP
  L25       +0.000   +0.328      MLP
  L26       +0.000   +3.773      MLP
  L27       +0.000   +4.016      MLP
  anti_delusion_delusion... (28 layers × 2 components)
  range=11.77
  Layer        Attn      MLP   Which?
  L0        +0.000   +1.359      MLP
  L1        +0.000   +2.164      MLP
  L2        +0.000   +2.562      MLP
  L3        +0.000   +4.953      MLP
  L4        +0.000   +4.750      MLP
  L5        +0.000   +3.188      MLP
  L6        +0.000   +6.609      MLP
  L7        +0.000   +2.172      MLP
  L8        +0.000   +2.781      MLP
  L9        +0.000   +2.578      MLP
  L10       +0.000   +0.469      MLP
  L11       +0.000   -1.648      MLP
  L12       +0.000   +2.445      MLP
  L13       +0.000   +0.930      MLP
  L14       +0.000   +2.086      MLP
  L15       +0.000   -0.727      MLP
  L16       +0.000   +2.906      MLP
  L17       +0.000   +4.125      MLP
  L18       +0.000   -0.164      MLP
  L19       +0.000   +1.656      MLP
  L20       +0.000   +1.383      MLP
  L21       +0.000   +3.070      MLP
  L22       +0.000   +0.406      MLP
  L23       +0.000   +0.070      MLP
  L24       +0.000   +1.758      MLP
  L25       +0.000   +0.516      MLP
  L26       +0.000   +4.312      MLP
  L27       +0.000   +4.414      MLP

============================================================
only_artifact → baseline
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=9.19
  Layer        Attn      MLP   Which?
  L0        +0.000   +1.094      MLP
  L1        +0.000   +1.789      MLP
  L2        +0.000   +2.891      MLP
  L3        +0.000   +4.258      MLP
  L4        +0.000   +3.445      MLP
  L5        +0.000   +3.102      MLP
  L6        +0.000   +5.016      MLP
  L7        +0.000   +2.398      MLP
  L8        +0.000   +2.570      MLP
  L9        +0.000   +1.633      MLP
  L10       +0.000   +1.164      MLP
  L11       +0.000   +0.367      MLP
  L12       +0.000   +1.977      MLP
  L13       +0.000   +1.352      MLP
  L14       +0.000   +1.523      MLP
  L15       +0.000   -0.477      MLP
  L16       +0.000   +2.141      MLP
  L17       +0.000   +3.359      MLP
  L18       +0.000   -0.078      MLP
  L19       +0.000   +0.477      MLP
  L20       +0.000   +1.016      MLP
  L21       +0.000   +1.898      MLP
  L22       +0.000   -0.242      MLP
  L23       +0.000   -0.242      MLP
  L24       +0.000   +1.648      MLP
  L25       +0.000   +0.562      MLP
  L26       +0.000   +2.828      MLP
  L27       +0.000   +3.547      MLP
  recursive_importance_inflation... (28 layers × 2 components)
  range=8.73
  Layer        Attn      MLP   Which?
  L0        +0.000   +0.852      MLP
  L1        +0.000   +1.242      MLP
  L2        +0.000   +1.953      MLP
  L3        +0.000   +3.477      MLP
  L4        +0.000   +3.273      MLP
  L5        +0.000   +2.836      MLP
  L6        +0.000   +4.266      MLP
  L7        +0.000   +1.219      MLP
  L8        +0.000   +3.547      MLP
  L9        +0.000   +1.328      MLP
  L10       +0.000   +0.977      MLP
  L11       +0.000   -0.664      MLP
  L12       +0.000   +1.602      MLP
  L13       +0.000   +0.867      MLP
  L14       +0.000   +0.859      MLP
  L15       +0.000   -0.688      MLP
  L16       +0.000   +2.031      MLP
  L17       +0.000   +3.547      MLP
  L18       +0.000   +0.102      MLP
  L19       +0.000   +0.875      MLP
  L20       +0.000   +1.008      MLP
  L21       +0.000   +2.109      MLP
  L22       +0.000   +0.328      MLP
  L23       +0.000   -0.336      MLP
  L24       +0.000   +2.086      MLP
  L25       +0.000   -0.102      MLP
  L26       +0.000   +3.297      MLP
  L27       +0.000   +3.766      MLP
  identity_seeking_through_theory... (28 layers × 2 components)
  range=9.21
  Layer        Attn      MLP   Which?
  L0        +0.000   +1.211      MLP
  L1        +0.000   +1.805      MLP
  L2        +0.000   +3.133      MLP
  L3        +0.000   +4.031      MLP
  L4        +0.000   +3.594      MLP
  L5        +0.000   +3.219      MLP
  L6        +0.000   +5.242      MLP
  L7        +0.000   +2.773      MLP
  L8        +0.000   +2.703      MLP
  L9        +0.000   +2.109      MLP
  L10       +0.000   +1.188      MLP
  L11       +0.000   +0.312      MLP
  L12       +0.000   +2.141      MLP
  L13       +0.000   +1.523      MLP
  L14       +0.000   +1.852      MLP
  L15       +0.000   -0.422      MLP
  L16       +0.000   +1.969      MLP
  L17       +0.000   +3.273      MLP
  L18       +0.000   -0.242      MLP
  L19       +0.000   +0.516      MLP
  L20       +0.000   +1.016      MLP
  L21       +0.000   +2.031      MLP
  L22       +0.000   -0.141      MLP
  L23       +0.000   -0.195      MLP
  L24       +0.000   +1.469      MLP
  L25       +0.000   +0.562      MLP
  L26       +0.000   +2.812      MLP
  L27       +0.000   +3.422      MLP
  self_exposure_escalation... (28 layers × 2 components)
  range=9.48
  Layer        Attn      MLP   Which?
  L0        +0.000   +0.992      MLP
  L1        +0.000   +1.961      MLP
  L2        +0.000   +2.617      MLP
  L3        +0.000   +4.547      MLP
  L4        +0.000   +3.641      MLP
  L5        +0.000   +2.992      MLP
  L6        +0.000   +4.875      MLP
  L7        +0.000   +2.367      MLP
  L8        +0.000   +2.773      MLP
  L9        +0.000   +1.727      MLP
  L10       +0.000   +1.156      MLP
  L11       +0.000   +0.508      MLP
  L12       +0.000   +2.078      MLP
  L13       +0.000   +1.305      MLP
  L14       +0.000   +1.602      MLP
  L15       +0.000   -0.492      MLP
  L16       +0.000   +2.273      MLP
  L17       +0.000   +3.289      MLP
  L18       +0.000   -0.039      MLP
  L19       +0.000   +0.539      MLP
  L20       +0.000   +1.070      MLP
  L21       +0.000   +1.867      MLP
  L22       +0.000   -0.266      MLP
  L23       +0.000   -0.211      MLP
  L24       +0.000   +1.766      MLP
  L25       +0.000   +0.523      MLP
  L26       +0.000   +2.859      MLP
  L27       +0.000   +3.695      MLP
  anti_delusion_delusion... (28 layers × 2 components)
  range=9.27
  Layer        Attn      MLP   Which?
  L0        +0.000   +1.227      MLP
  L1        +0.000   +1.977      MLP
  L2        +0.000   +3.117      MLP
  L3        +0.000   +4.289      MLP
  L4        +0.000   +3.609      MLP
  L5        +0.000   +3.320      MLP
  L6        +0.000   +5.188      MLP
  L7        +0.000   +2.727      MLP
  L8        +0.000   +2.703      MLP
  L9        +0.000   +1.961      MLP
  L10       +0.000   +1.047      MLP
  L11       +0.000   +0.422      MLP
  L12       +0.000   +2.102      MLP
  L13       +0.000   +1.578      MLP
  L14       +0.000   +1.844      MLP
  L15       +0.000   -0.352      MLP
  L16       +0.000   +2.086      MLP
  L17       +0.000   +3.344      MLP
  L18       +0.000   -0.156      MLP
  L19       +0.000   +0.484      MLP
  L20       +0.000   +1.039      MLP
  L21       +0.000   +1.992      MLP
  L22       +0.000   -0.180      MLP
  L23       +0.000   -0.164      MLP
  L24       +0.000   +1.586      MLP
  L25       +0.000   +0.633      MLP
  L26       +0.000   +2.844      MLP
  L27       +0.000   +3.516      MLP

============================================================
handled → scrambled
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=6.27
  Layer        Attn      MLP   Which?
  L0        +0.000   +1.617      MLP
  L1        +0.000   +1.906      MLP
  L2        +0.000   +0.977      MLP
  L3        +0.000   +3.281      MLP
  L4        +0.000   +5.508      MLP
  L5        +0.000   -0.312      MLP
  L6        +0.000   +2.641      MLP
  L7        +0.000   +1.586      MLP
  L8        +0.000   +1.578      MLP
  L9        +0.000   +3.758      MLP
  L10       +0.000   +2.023      MLP
  L11       +0.000   +4.273      MLP
  L12       +0.000   +2.414      MLP
  L13       +0.000   +0.711      MLP
  L14       +0.000   +1.297      MLP
  L15       +0.000   +2.930      MLP
  L16       +0.000   +0.945      MLP
  L17       +0.000   +3.883      MLP
  L18       +0.000   +0.297      MLP
  L19       +0.000   +0.305      MLP
  L20       +0.000   +1.328      MLP
  L21       +0.000   +1.211      MLP
  L22       +0.000   +0.523      MLP
  L23       +0.000   +1.109      MLP
  L24       +0.000   +0.258      MLP
  L25       +0.000   +1.844      MLP
  L26       +0.000   +1.836      MLP
  L27       +0.000   +2.672      MLP
  recursive_importance_inflation... (28 layers × 2 components)
  range=5.89
  Layer        Attn      MLP   Which?
  L0        +0.000   +2.531      MLP
  L1        +0.000   +2.398      MLP
  L2        +0.000   +0.609      MLP
  L3        +0.000   +4.320      MLP
  L4        +0.000   +7.359      MLP
  L5        +0.000   +0.664      MLP
  L6        +0.000   +2.617      MLP
  L7        +0.000   +2.164      MLP
  L8        +0.000   +2.523      MLP
  L9        +0.000   +5.031      MLP
  L10       +0.000   +1.539      MLP
  L11       +0.000   +4.711      MLP
  L12       +0.000   +2.273      MLP
  L13       +0.000   +0.398      MLP
  L14       +0.000   +1.547      MLP
  L15       +0.000   +2.875      MLP
  L16       +0.000   +0.953      MLP
  L17       +0.000   +3.453      MLP
  L18       +0.000   +0.742      MLP
  L19       +0.000   +1.070      MLP
  L20       +0.000   +1.492      MLP
  L21       +0.000   +0.984      MLP
  L22       +0.000   +0.609      MLP
  L23       +0.000   +1.398      MLP
  L24       +0.000   +0.500      MLP
  L25       +0.000   +1.500      MLP
  L26       +0.000   +1.852      MLP
  L27       +0.000   +3.172      MLP
  identity_seeking_through_theory... (28 layers × 2 components)
  range=7.73
  Layer        Attn      MLP   Which?
  L0        +0.000   +2.609      MLP
  L1        +0.000   +3.359      MLP
  L2        +0.000   +1.711      MLP
  L3        +0.000   +4.484      MLP
  L4        +0.000   +6.719      MLP
  L5        +0.000   -0.133      MLP
  L6        +0.000   +4.070      MLP
  L7        +0.000   +2.039      MLP
  L8        +0.000   +2.070      MLP
  L9        +0.000   +5.148      MLP
  L10       +0.000   +3.227      MLP
  L11       +0.000   +5.516      MLP
  L12       +0.000   +3.172      MLP
  L13       +0.000   +1.172      MLP
  L14       +0.000   +1.305      MLP
  L15       +0.000   +3.820      MLP
  L16       +0.000   +1.812      MLP
  L17       +0.000   +4.359      MLP
  L18       +0.000   +0.195      MLP
  L19       +0.000   +0.688      MLP
  L20       +0.000   +1.500      MLP
  L21       +0.000   +1.789      MLP
  L22       +0.000   +0.484      MLP
  L23       +0.000   +1.117      MLP
  L24       +0.000   +0.586      MLP
  L25       +0.000   +2.328      MLP
  L26       +0.000   +2.109      MLP
  L27       +0.000   +3.039      MLP
  self_exposure_escalation... (28 layers × 2 components)
  range=5.80
  Layer        Attn      MLP   Which?
  L0        +0.000   +2.430      MLP
  L1        +0.000   +2.414      MLP
  L2        +0.000   +0.406      MLP
  L3        +0.000   +4.383      MLP
  L4        +0.000   +7.203      MLP
  L5        +0.000   +0.656      MLP
  L6        +0.000   +2.602      MLP
  L7        +0.000   +1.984      MLP
  L8        +0.000   +2.461      MLP
  L9        +0.000   +4.938      MLP
  L10       +0.000   +1.281      MLP
  L11       +0.000   +4.445      MLP
  L12       +0.000   +2.227      MLP
  L13       +0.000   +0.031      MLP
  L14       +0.000   +1.516      MLP
  L15       +0.000   +2.688      MLP
  L16       +0.000   +0.719      MLP
  L17       +0.000   +3.445      MLP
  L18       +0.000   +0.680      MLP
  L19       +0.000   +1.102      MLP
  L20       +0.000   +1.523      MLP
  L21       +0.000   +0.930      MLP
  L22       +0.000   +0.578      MLP
  L23       +0.000   +1.391      MLP
  L24       +0.000   +0.430      MLP
  L25       +0.000   +1.445      MLP
  L26       +0.000   +1.875      MLP
  L27       +0.000   +3.133      MLP
  anti_delusion_delusion... (28 layers × 2 components)
  range=7.66
  Layer        Attn      MLP   Which?
  L0        +0.000   +1.992      MLP
  L1        +0.000   +2.617      MLP
  L2        +0.000   +1.633      MLP
  L3        +0.000   +4.562      MLP
  L4        +0.000   +6.766      MLP
  L5        +0.000   +0.797      MLP
  L6        +0.000   +2.977      MLP
  L7        +0.000   +2.070      MLP
  L8        +0.000   +1.000      MLP
  L9        +0.000   +3.148      MLP
  L10       +0.000   +2.602      MLP
  L11       +0.000   +4.273      MLP
  L12       +0.000   +2.734      MLP
  L13       +0.000   +1.922      MLP
  L14       +0.000   +1.359      MLP
  L15       +0.000   +3.383      MLP
  L16       +0.000   +1.523      MLP
  L17       +0.000   +4.289      MLP
  L18       +0.000   -0.211      MLP
  L19       +0.000   +0.555      MLP
  L20       +0.000   +1.414      MLP
  L21       +0.000   +1.680      MLP
  L22       +0.000   +0.398      MLP
  L23       +0.000   +0.609      MLP
  L24       +0.000   +0.852      MLP
  L25       +0.000   +1.594      MLP
  L26       +0.000   +2.242      MLP
  L27       +0.000   +3.242      MLP

Saved: /Users/asuramaya/code/automatons/bench/neuron_data/patching_full_Qwen_Qwen2.5-7B-Instruct.json

============================================================
AGGREGATE: Attention vs MLP by layer (averaged across scenarios)
============================================================

  handled → baseline:
  Layer        Attn      MLP  Dominant
  ------------------------------------
  L0        +0.000   +0.998       MLP
  L1        +0.000   +2.042       MLP
  L2        +0.000   +3.158       MLP
  L3        +0.000   +5.489       MLP
  L4        +0.000   +4.400       MLP
  L5        +0.000   +3.775       MLP
  L6        +0.000   +5.297       MLP
  L7        +0.000   +3.186       MLP
  L8        +0.000   +3.284       MLP
  L9        +0.000   +2.631       MLP
  L10       +0.000   +1.095       MLP
  L11       +0.000   +0.711       MLP
  L12       +0.000   +1.784       MLP
  L13       +0.000   +1.823       MLP
  L14       +0.000   +1.886       MLP
  L15       +0.000   -0.316       MLP
  L16       +0.000   +2.828       MLP
  L17       +0.000   +3.337       MLP
  L18       +0.000   -0.091       MLP
  L19       +0.000   +0.537       MLP
  L20       +0.000   +0.844       MLP
  L21       +0.000   +1.948       MLP
  L22       +0.000   +0.081       MLP
  L23       +0.000   +0.148       MLP
  L24       +0.000   +1.497       MLP
  L25       +0.000   +0.512       MLP
  L26       +0.000   +2.730       MLP
  L27       +0.000   +4.089       MLP

  scrambled → baseline:
  Layer        Attn      MLP  Dominant
  ------------------------------------
  L0        +0.000   +0.759       MLP
  L1        +0.000   +1.837       MLP
  L2        +0.000   +2.545       MLP
  L3        +0.000   +4.364       MLP
  L4        +0.000   +3.659       MLP
  L5        +0.000   +2.788       MLP
  L6        +0.000   +6.103       MLP
  L7        +0.000   +1.842       MLP
  L8        +0.000   +2.841       MLP
  L9        +0.000   +1.741       MLP
  L10       +0.000   +0.589       MLP
  L11       +0.000   -1.575       MLP
  L12       +0.000   +2.336       MLP
  L13       +0.000   +1.147       MLP
  L14       +0.000   +1.808       MLP
  L15       +0.000   -0.486       MLP
  L16       +0.000   +2.625       MLP
  L17       +0.000   +3.986       MLP
  L18       +0.000   -0.233       MLP
  L19       +0.000   +1.328       MLP
  L20       +0.000   +1.303       MLP
  L21       +0.000   +2.922       MLP
  L22       +0.000   +0.714       MLP
  L23       +0.000   +0.056       MLP
  L24       +0.000   +1.623       MLP
  L25       +0.000   +0.397       MLP
  L26       +0.000   +4.005       MLP
  L27       +0.000   +4.158       MLP

  only_artifact → baseline:
  Layer        Attn      MLP  Dominant
  ------------------------------------
  L0        +0.000   +1.075       MLP
  L1        +0.000   +1.755       MLP
  L2        +0.000   +2.742       MLP
  L3        +0.000   +4.120       MLP
  L4        +0.000   +3.513       MLP
  L5        +0.000   +3.094       MLP
  L6        +0.000   +4.917       MLP
  L7        +0.000   +2.297       MLP
  L8        +0.000   +2.859       MLP
  L9        +0.000   +1.752       MLP
  L10       +0.000   +1.106       MLP
  L11       +0.000   +0.189       MLP
  L12       +0.000   +1.980       MLP
  L13       +0.000   +1.325       MLP
  L14       +0.000   +1.536       MLP
  L15       +0.000   -0.486       MLP
  L16       +0.000   +2.100       MLP
  L17       +0.000   +3.362       MLP
  L18       +0.000   -0.083       MLP
  L19       +0.000   +0.578       MLP
  L20       +0.000   +1.030       MLP
  L21       +0.000   +1.980       MLP
  L22       +0.000   -0.100       MLP
  L23       +0.000   -0.230       MLP
  L24       +0.000   +1.711       MLP
  L25       +0.000   +0.436       MLP
  L26       +0.000   +2.928       MLP
  L27       +0.000   +3.589       MLP

  handled → scrambled:
  Layer        Attn      MLP  Dominant
  ------------------------------------
  L0        +0.000   +2.236       MLP
  L1        +0.000   +2.539       MLP
  L2        +0.000   +1.067       MLP
  L3        +0.000   +4.206       MLP
  L4        +0.000   +6.711       MLP
  L5        +0.000   +0.334       MLP
  L6        +0.000   +2.981       MLP
  L7        +0.000   +1.969       MLP
  L8        +0.000   +1.927       MLP
  L9        +0.000   +4.405       MLP
